,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
0,3M Company,MMM,US,Registered Share,CHF,False,1405105,MMM.SW,Industrials,Specialty Industrial Machinery,0.29003,0.17038,0.247,0.23501,0.10925999,none,,131.71,9.51,1.112,EBS,0.953056,10.951,3.176,23.737,0.167,,2021-06-30,https://logo.clearbit.com/3m.com
1,ABB Ltd,ABBN,CH,Registered Share,CHF,True,1222171,ABBN.SW,Industrials,Electrical Equipment & Parts,0.1288,0.20292,0.21,0.09835,0.04004,none,,52.615,1.938,0.761,EBS,1.06285,19.789,2.549,6.764,1.357,,2021-06-30,https://logo.clearbit.com/global.abb
2,Abbott Laboratories,ABT,US,Registered Share,CHF,False,903037,ABT.SW,Healthcare,Medical Devices,0.27738002,0.1533,0.353,0.18544,0.06202,none,,54.587,4.712,1.161,EBS,0.67519,17.978,4.987,18.889,2.179,,2021-03-31,https://logo.clearbit.com/abbott.com
3,Achiko AG,ACHI,CH,Registered Share,CHF,True,52221346,ACHI.SW,Technology,Information Technology Services,0.0,0.0,-0.964,-4.525,-2.92086,none,,,0.006,0.119,EBS,,-1.589,7.178,-0.038,,,2020-12-31,https://logo.clearbit.com/achiko.com
4,Addex Therapeutics Ltd,ADXN,CH,Registered Share,CHF,True,2985075,ADXN.SW,Healthcare,Biotechnology,0.0,0.0,0.15,-3.17185,-0.35395,none,,2.558,0.532,5.259,EBS,1.460157,-2.718,8.729,0.608,,,2021-06-30,https://logo.clearbit.com/addextherapeutics.com
5,Adecco Group AG,ADEN,CH,Registered Share,CHF,True,1213860,ADEN.SW,Industrials,Staffing & Employment Services,0.04777,0.024319999,0.259,0.04161,0.055069998,none,,72.507,7.988,1.168,EBS,1.338945,9.347,0.446,21.248,5.905,,2021-06-30,https://logo.clearbit.com/adeccogroup.com
6,Adval Tech Holding AG,ADVN,CH,Registered Share,CHF,True,896792,ADVN.SW,Industrials,Metal Fabrication,0.11983,0.051960003,0.469,0.06822,0.04346,none,,0.486,24.754,1.797,EBS,0.307297,5.658,0.678,173.361,87.75,,2021-06-30,https://logo.clearbit.com/advaltech.com
7,AEVIS VICTORIA SA,AEVS,CH,Registered Share,CHF,True,47863410,AEVS.SW,Healthcare,Medical Care Facilities,0.01898,-0.05088,0.02,-0.056599997,-0.01625,none,,200.585,0.789,0.676,EBS,0.275533,162.786,3.09,4.35,,,2020-12-31,https://logo.clearbit.com/aevis.com
8,Airesis SA,AIRE,CH,Registered Share,CHF,True,1094762,AIRE.SW,Financial Services,Asset Management,-0.16455999,-0.18200001,-0.221,-0.18361999,-0.072519995,none,,,0.079,0.36,EBS,0.628571,-8.063,1.327,-0.055,,,2020-12-31,https://logo.clearbit.com/airesis.com
9,Alcon Inc.,ALC,CH,Registered Share,CHF,True,43249246,ALC.SW,Healthcare,Medical Instruments & Supplies,0.19373,-0.056339998,0.048,-0.01055,-0.0016699999,none,,23.835,3.209,1.61,EBS,0.485265,25.716,4.982,38.606,,,2021-03-31,https://logo.clearbit.com/alcon.com
10,Allreal Holding AG,ALLN,CH,Registered Share,CHF,True,883756,ALLN.SW,Real Estate,Real Estate Services,0.33191,0.32377997,0.031,0.32939997,0.02185,none,,90.306,2.547,0.151,EBS,0.240336,29.953,9.942,151.757,-0.475,24.202335,2020-12-31,https://logo.clearbit.com/allreal.ch
11,Alpine Select AG,ALPN,CH,Registered Share,CHF,True,1919955,ALPN.SW,Financial Services,Asset Management,0.0,0.66600996,1.68,0.71829003,0.02873,none,,,0.72,3.88,EBS,0.274971,,14.255,13.964,2.269,,2020-12-31,https://logo.clearbit.com/alpine-select.ch
12,ALSO Holding AG,ALSN,CH,Registered Share,CHF,True,2459027,ALSN.SW,Technology,Information Technology Services,0.018550001,0.01208,0.097,0.01709,0.04937,none,,48.805,27.0,0.242,EBS,0.854657,16.713,0.31,64.035,0.448,30.63973,2021-06-30,https://logo.clearbit.com/also.com
13,Aluflexpack AG,AFP,CH,Registered Share,CHF,True,45322689,AFP.SW,Consumer Cyclical,Packaging & Containers,0.13423,0.03664,0.163,0.0698,0.03724,none,,21.142,2.563,1.061,EBS,,19.714,2.646,10.006,0.461,,2020-12-31,https://logo.clearbit.com/aluflexpack.com
14,ams AG,AMS,AT,Bearer Share,CHF,True,24924656,AMS.SW,Technology,Semiconductors,0.18652001,0.00115,1.824,0.04871,0.01795,none,,103.088,6.15,0.807,EBS,2.193477,7.794,1.454,12.38,,,2021-03-31,https://logo.clearbit.com/ams.com
15,Anglo American plc,AAM,GB,Registered Share,CHF,False,3186826,AAM.SW,Basic Materials,Other Industrial Metals & Mining,0.41695,0.16016,1.138,0.35553002,0.15117,none,,34.75,8.848,1.429,EBS,1.195553,3.159,1.317,20.847,10.015,,2021-06-30,https://logo.clearbit.com/angloamerican.com
16,APG SGA SA,APGN,CH,Registered Share,CHF,True,1910702,APGN.SW,Communication Services,Advertising Agencies,0.108260006,0.07388,-0.017,0.0694,0.06046,none,,,17.413,1.033,EBS,0.992588,21.644,2.343,29.884,,11.741793,2021-06-30,https://logo.clearbit.com/apgsga.ch
17,Arbonia AG,ARBN,CH,Registered Share,CHF,True,11024060,ARBN.SW,Industrials,Building Products & Equipment,0.11579,0.04299,,0.05005,0.021429999,none,,20.095,0.753,0.457,EBS,1.509121,10.753,1.245,12.909,,19.680851,2020-12-31,https://logo.clearbit.com/arbonia.com
18,Arundel AG,ARON,CH,Registered Share,CHF,True,227101,ARON.SW,Financial Services,Capital Markets,0.3397,1.1364499,0.033,0.29268998,0.00808,none,,450.294,0.085,0.337,EBS,0.881593,66.423,22.564,1.464,,,2020-12-31,https://logo.clearbit.com/arundel-ag.com
19,ARYZTA AG,ARYN,CH,Registered Share,CHF,True,4323836,ARYN.SW,Consumer Defensive,Packaged Foods,0.01556,-0.11632,-0.21,-0.0465,-0.02268,none,,110.141,0.394,0.53,EBS,2.306958,48.446,0.754,1.154,,8.473333,2021-01-30,https://logo.clearbit.com/aryzta.com
20,Ascom Holding AG,ASCN,CH,Registered Share,CHF,True,1133920,ASCN.SW,Healthcare,Health Information Services,0.057350002,0.03232,0.05,0.047620002,0.04355,none,,,0.917,1.066,EBS,1.502805,30.415,1.744,1.975,,14.16,2021-06-30,https://logo.clearbit.com/ascom.com
21,ASMALLWORLD AG,ASWN,CH,Registered Share,CHF,True,40488012,ASWN.SW,Consumer Cyclical,Travel Services,0.055120002,0.05465,-0.162,0.03269,0.02665,none,,,0.257,0.822,EBS,0.834073,54.967,3.03,-0.588,-0.656,,2020-12-31,https://logo.clearbit.com/asmallworldag.com
22,Autoneum Holding AG,AUTN,CH,Registered Share,CHF,True,12748036,AUTN.SW,Consumer Cyclical,Auto Parts,0.08251,0.02747,0.219,0.03778,0.026619999,none,,139.434,27.478,0.707,EBS,2.03872,9.177,0.757,66.766,,6.9324007,2021-06-30,https://logo.clearbit.com/autoneum.com
23,Bachem Holding AG,BANB,CH,Registered Share,CHF,True,1253020,BANB.SW,Basic Materials,Chemicals,0.29733,0.19419001,0.255,0.24046,0.088970006,none,,22.608,1.679,0.76,EBS,0.436588,71.196,21.169,33.988,0.341,203.41208,2020-12-31,https://logo.clearbit.com/bachem.com
24,Bâloise Holding AG,BALN,CH,Registered Share,CHF,True,1241051,BALN.SW,Financial Services,Insurance—Diversified,0.23252001,0.05187,0.599,0.22930999,0.01732,none,,34.955,464.179,30.856,EBS,1.179589,-4.697,-1.092,155.023,0.701,10.853563,2021-06-30,https://logo.clearbit.com/baloise.com
25,Bank Linth LLB AG,LINN,CH,Registered Share,CHF,True,130775,LINN.SW,Financial Services,Banks—Regional,0.0,0.27025998,-0.021,0.31559,0.0030899998,none,,,2073.505,,EBS,0.069584,,19.4,665.129,-0.068,,2020-12-31,https://logo.clearbit.com/banklinth.ch
26,Banque Cantonale de Genève,BCGE,CH,Registered Share,CHF,True,35049471,BCGE.SW,Financial Services,Banks—Regional,0.0,0.28625,-0.083,0.34903,0.004,none,,,947.307,,EBS,0.164179,,8.747,242.379,0.322,,2020-12-31,https://logo.clearbit.com/bcge.ch
27,Banque Cantonale du Jura SA,BCJ,CH,Registered Share,CHF,True,35066567,BCJ.SW,Financial Services,Banks—Regional,0.0,0.1633,-0.162,0.22636,0.00191,none,,,266.63,,EBS,0.319865,,17.82,87.004,-0.961,,2020-12-31,https://logo.clearbit.com/bcj.ch
28,Banque Cantonale Vaudoise,BCVN,CH,Registered Share,CHF,True,53175175,BCVN.SW,Financial Services,Banks—Regional,0.0,0.34998,-0.064,0.39441,0.00651,none,,,144.638,,EBS,0.315375,,8.976,41.625,-0.042,1.74862,2020-12-31,https://logo.clearbit.com/bcv.ch
29,Barry Callebaut AG,BARN,CH,Registered Share,CHF,True,900296,BARN.SW,Consumer Defensive,Confectioners,0.094569996,0.04735,-0.075,0.07361,0.040599998,none,,105.778,158.668,0.685,EBS,0.310886,23.113,2.186,451.894,-0.014,30.859213,2021-02-28,https://logo.clearbit.com/barry-callebaut.com
30,Basellandschaftliche Kantonalbank,BLKB,CH,Participation Certificate,CHF,True,147355,BLKB.SW,Financial Services,Banks—Regional,0.0,0.40869,0.068,0.41140997,0.00471,none,,,2164.485,,EBS,0.195847,,16.543,1182.651,0.074,,2021-06-30,https://logo.clearbit.com/blkb.ch
31,Basilea Pharmaceutica AG,BSLN,CH,Registered Share,CHF,True,1143244,BSLN.SW,Healthcare,Biotechnology,-0.30179,-0.39604,-0.218,-0.30776,-0.102019995,none,,,13.809,5.1,EBS,0.935465,-18.488,5.579,-9.39,,-20.651163,2021-06-30,https://logo.clearbit.com/basilea.com
32,Basler Kantonalbank,BSKP,CH,Participation Certificate,CHF,True,923646,BSKP.SW,Financial Services,Banks—Regional,0.0,0.20451,0.014,0.22739,0.0021799998,none,,,360.454,,EBS,0.508015,,10.934,95.181,0.0,,2020-12-31,https://logo.clearbit.com/bkb.ch
33,Baxter International Inc.,BAX,US,Registered Share,CHF,False,911702,BAX.SW,Healthcare,Medical Instruments & Supplies,0.22695999,0.09038,0.051,0.15579,0.059710003,none,,77.267,6.328,1.623,EBS,0.67791,17.023,3.864,16.814,-0.102,,2021-03-31,https://logo.clearbit.com/baxter.com
34,BB Biotech AG,BION,CH,Registered Share,CHF,True,3838999,BION.SW,Healthcare,Biotechnology,0.0,1.70926,968.362,0.94754,0.16367,none,,8.932,77.263,11.744,EBS,0.996683,,0.766,70.73,,11.056962,2021-03-31,https://logo.clearbit.com/bbbiotech.ch
35,BELIMO Holding AG,BEAN,CH,Registered Share,CHF,True,110109816,BEAN.SW,Industrials,Building Products & Equipment,0.21209,0.15371001,0.147,0.17927,0.13906,none,,2.878,10.071,2.323,EBS,0.829405,37.74,8.005,39.781,0.545,3.315022,2021-06-30,https://logo.clearbit.com/belimo.com
36,Bell Food Group AG,BELL,CH,Registered Share,CHF,True,31596632,BELL.SW,Consumer Defensive,Packaged Foods,0.0766,0.029509999,0.014,0.03916,0.036059998,none,,63.629,28.751,1.477,EBS,0.264119,8.169,0.626,217.407,0.414,10.094637,2020-12-31,https://logo.clearbit.com/bellfoodgroup.com
37,Bellevue Group AG,BBN,CH,Registered Share,CHF,True,2842210,BBN.SW,Financial Services,Asset Management,0.0,0.29059,0.507,0.42589,0.19927,none,,2.515,3.989,1.811,EBS,0.757575,,4.089,12.397,3.079,,2021-06-30,https://logo.clearbit.com/bellevue.ch
38,Bergbahnen Engelberg-Trübsee-Titlis AG,TIBN,CH,Registered Share,CHF,True,52704495,TIBN.SW,Consumer Cyclical,Leisure,0.14361,-0.53836,-0.795,-0.38561,-0.04896,none,,12.736,3.191,1.426,EBS,0.855168,34.655,4.977,41.313,,,2020-10-31,https://logo.clearbit.com/titlis.ch
39,Berner Kantonalbank AG,BEKN,CH,Registered Share,CHF,True,969160,BEKN.SW,Financial Services,Banks—Regional,0.0,0.35909,-0.012,0.41362,0.00428,none,,,855.712,,EBS,0.514285,,6.895,286.131,0.054,14.1456585,2020-12-31,https://logo.clearbit.com/bekb.ch
40,BKW AG,BKW,CH,Registered Share,CHF,True,13029366,BKW.SW,Utilities,Utilities—Renewable,0.21299,0.120179996,0.056,0.1449,0.0292,none,,37.447,19.217,1.44,EBS,0.177328,9.784,2.084,70.046,0.297,25.0,2020-12-31,https://logo.clearbit.com/bkw.ch
41,Blackstone Resources AG,BLS,CH,Registered Share,CHF,True,46002711,BLS.SW,Basic Materials,Other Industrial Metals & Mining,0.0,1870.8354,-0.521,-467.5021,-0.0256,none,,16.707,0.023,1.136,EBS,1.70366,-66.573,21760.072,0.913,,,2020-12-31,https://logo.clearbit.com/blackstoneresources.ch
42,Bobst Group SA,BOBNN,CH,Registered Share,CHF,True,1268465,BOBNN.SW,Industrials,Specialty Industrial Machinery,0.06268,0.03708,0.274,0.03497,0.01974,none,,66.385,25.297,0.956,EBS,1.175028,14.103,0.884,30.638,,14.736842,2021-06-30,https://logo.clearbit.com/bobst.com
43,Bossard Holding AG,BOSN,CH,Registered Share,CHF,True,23862714,BOSN.SW,Industrials,Industrial Distribution,0.12557,0.0825,-0.028,0.10628,0.083450004,none,,60.908,5.289,1.085,EBS,1.348258,20.878,2.622,41.6,0.05,31.872295,2020-12-31,https://logo.clearbit.com/bossard.com
44,Bucher Industries AG,BUCN,CH,Registered Share,CHF,True,243217,BUCN.SW,Industrials,Specialty Industrial Machinery,0.124510005,0.07317,0.185,0.096429996,0.07264,none,,11.387,48.749,1.236,EBS,1.008978,11.778,1.466,134.116,1.0,20.634031,2021-06-30,https://logo.clearbit.com/bucherindustries.com
45,Burckhardt Compression Holding AG,BCHN,CH,Registered Share,CHF,True,2553602,BCHN.SW,Industrials,Specialty Industrial Machinery,0.12439,0.06686,0.028,0.09234,0.04524,none,,71.855,22.249,0.946,EBS,,16.27,2.024,64.679,0.118,26.387772,2021-03-31,https://logo.clearbit.com/burckhardtcompression.com
46,Burkhalter Holding AG,BRKN,CH,Registered Share,CHF,True,21225580,BRKN.SW,Industrials,Engineering & Construction,0.035669997,0.028970001,0.021,0.030150002,0.044109996,none,,17.726,7.187,1.502,EBS,0.72615,19.478,0.695,11.899,-0.043,10.060514,2020-12-31,https://logo.clearbit.com/burkhalter.ch
47,BVZ Holding AG,BVZN,CH,Registered Share,CHF,True,820735,BVZN.SW,Industrials,Railroads,0.1325,-0.05802,-0.311,-0.053579997,-0.01006,none,,106.649,99.294,0.878,EBS,0.644257,21.916,2.904,851.78,-0.863,,2020-12-31,https://logo.clearbit.com/bvzholding.ch
48,Bystronic AG,BYS,CH,Registered Share,CHF,True,24401750,BYS.SW,Industrials,Specialty Industrial Machinery,0.05756,-0.03063,0.183,0.031659998,0.02308,none,,0.845,232.487,2.027,EBS,1.134118,27.259,1.569,384.271,,,2021-06-30,https://logo.clearbit.com/bystronic.com
49,Calida Holding AG,CALN,CH,Registered Share,CHF,True,12663946,CALN.SW,Consumer Cyclical,Apparel Manufacturing,0.06814,0.05959,0.335,0.0464,0.03139,none,,29.478,3.948,0.519,EBS,0.458823,15.121,1.03,20.051,,20.491072,2021-06-30,https://logo.clearbit.com/calidagroup.com
50,Carlo Gavazzi Holding AG,GAV,CH,Bearer Share,CHF,True,1100359,GAV.SW,Industrials,Electrical Equipment & Parts,0.13825,0.08135,0.085,0.11615,0.07487,none,,8.014,87.892,2.684,EBS,0.682379,6.559,0.907,131.924,2.216,,2021-03-31,https://logo.clearbit.com/carlogavazzi.com
51,Cassiopea S.p.A.,SKIN,IT,Registered Share,CHF,True,28252872,SKIN.SW,Healthcare,Biotechnology,0.0,0.0,-0.134,-18.55387,-0.39715,none,,0.448,0.246,1.4,EBS,1.423034,-46.649,860.731,1.453,,,2020-12-31,https://logo.clearbit.com/cassiopea.com
52,Castle Alternative Invest AG in Liquidation,CASN,CH,Registered Share,CHF,True,509275,CASN.SW,Financial Services,Asset Management,0.0,0.64571,0.931,0.5794,0.024549998,none,,,2.277,15.886,EBS,0.722037,,10.741,16.008,1.461,,2020-12-31,https://logo.clearbit.com/castleai.com
53,Castle Private Equity AG,CPEN,CH,Registered Share,CHF,True,4885474,CPEN.SW,Financial Services,Asset Management,0.0,0.51276,7.979,0.70495003,0.02407,none,,,3.513,52.344,EBS,0.281923,,5.759,15.497,,,2020-12-31,https://logo.clearbit.com/castlepe.com
54,Caterpillar Inc.,CAT,US,Registered Share,CHF,False,916546,CAT.SW,Industrials,Farm & Heavy Construction Machinery,0.1816,0.07991,0.118,0.12791,0.04389,none,,229.825,19.154,1.071,EBS,0.916304,17.582,3.193,30.256,0.401,,2021-03-31,https://logo.clearbit.com/caterpillar.com
55,Cembra Money Bank AG,CMBN,CH,Registered Share,CHF,True,22517316,CMBN.SW,Financial Services,Banks—Regional,0.0,0.35548002,0.011,0.44451,0.021879999,none,,,18.827,,EBS,0.744107,,8.919,38.373,0.062,11.274509,2021-06-30,https://logo.clearbit.com/cembra.ch
56,Chocoladefabriken Lindt & Sprüngli AG,LISN,CH,Registered Share,CHF,True,1057075,LISN.SW,Consumer Defensive,Confectioners,0.17035,0.0933,0.174,0.13034001,0.045339998,none,,32.474,4984.317,1.526,EBS,0.271379,38.464,6.553,19202.805,3.661,50.166176,2021-06-30,https://logo.clearbit.com/lindt-spruengli.com
57,Chocoladefabriken Lindt & Sprüngli AG,LISP,CH,Participation Certificate,CHF,True,1057076,LISP.SW,Consumer Defensive,Confectioners,0.17035,0.0933,0.174,0.13034001,0.045339998,none,,32.474,4984.317,1.526,EBS,0.271379,4.079,0.695,19202.805,3.661,50.98621,2021-06-30,https://logo.clearbit.com/lindt-spruengli.com
58,CI Com SA,CIE,CH,Bearer Share,CHF,True,162581,CIE.SW,Real Estate,Real Estate Services,0.0,0.0,,0.0,-0.017690001,none,,,,,EBS,0.426487,,,-10.74,,,2020-12-31,https://logo.clearbit.com/cicomsa.com
59,Cicor Technologies Ltd.,CICN,CH,Registered Share,CHF,True,870219,CICN.SW,Technology,Electronic Components,0.096590005,0.03443,0.07,0.05134,0.0382,none,,67.883,12.505,1.544,EBS,1.068462,8.927,0.862,26.304,2.092,,2021-06-30,https://logo.clearbit.com/cicor.com
60,Clariant AG,CLN,CH,Registered Share,CHF,True,1214263,CLN.SW,Basic Materials,Specialty Chemicals,0.16156,0.20865999,0.046,0.107370004,0.03523,none,,86.399,2.507,0.606,EBS,1.255416,11.55,1.866,6.803,0.88,,2021-06-30,https://logo.clearbit.com/clariant.com
61,COLTENE Holding AG,CLTN,CH,Registered Share,CHF,True,2534325,CLTN.SW,Healthcare,Medical Instruments & Supplies,0.15115,0.033150002,0.044,0.12927,0.10632,none,,66.869,6.498,0.902,EBS,0.963515,20.789,3.142,15.101,-0.343,25.44681,2020-12-31,https://logo.clearbit.com/coltene.com
62,Comet Holding AG,COTN,CH,Registered Share,CHF,True,36082699,COTN.SW,Technology,Scientific & Technical Instruments,0.11963,0.06988,0.097,0.08929,0.05381,none,,38.063,9.614,0.755,EBS,1.425802,36.405,4.355,27.672,0.397,65.213356,2020-12-31,https://logo.clearbit.com/comet-group.com
63,Compagnie de Saint-Gobain,GOB,FR,Bearer Share,CHF,False,490580,GOB.SW,Industrials,Building Products & Equipment,0.13225001,0.05149,0.246,0.10208,0.055219997,none,,73.475,12.522,0.963,EBS,1.380471,7.23,0.956,33.756,,,2021-06-30,https://logo.clearbit.com/saint-gobain.com
64,Compagnie Financière Richemont SA,CFR,CH,Registered Share,CHF,True,21048333,CFR.SW,Consumer Cyclical,Luxury Goods,0.16525,0.098979995,0.121,0.11321,0.02826,none,,76.006,23.503,1.774,EBS,1.295895,28.468,4.704,31.113,16.844,,2021-03-31,https://logo.clearbit.com/richemont.com
65,Compagnie financière Tradition S.A.,CFT,CH,Bearer Share,CHF,True,1434511,CFT.SW,Financial Services,Capital Markets,0.0,0.079569995,-0.132,0.08137,0.05251,none,,79.396,40.968,1.838,EBS,0.269921,,0.984,52.421,-0.155,,2020-12-31,https://logo.clearbit.com/tradition.com
66,COSMO Pharmaceuticals N.V.,COPN,NL,Registered Share,CHF,True,32590356,COPN.SW,Healthcare,Drug Manufacturers—General,0.09936,-0.12963,-0.144,0.02961,0.00191,none,,42.023,14.747,11.058,EBS,0.927584,203.778,20.248,27.722,,-24.235294,2020-12-31,https://logo.clearbit.com/cosmopharma.com
67,CPH Chemie + Papier Holding AG,CPHN,CH,Registered Share,CHF,True,162471,CPHN.SW,Basic Materials,Paper & Paper Products,0.12016,0.10456,-0.168,0.054980002,0.02191,none,,24.972,19.382,2.081,EBS,0.57647,7.686,0.924,78.458,-0.08,48.97959,2020-12-31,https://logo.clearbit.com/cph.ch
68,Crealogix Holding AG,CLXN,CH,Registered Share,CHF,True,1111570,CLXN.SW,Technology,Software—Application,0.014939999,-0.107939996,0.081,-0.04587,-0.026129998,none,,54.318,21.675,1.254,EBS,0.551133,94.751,1.416,32.394,,28.588806,2020-12-31,https://logo.clearbit.com/crealogix.com
69,Credit Suisse Group AG,CSGN,CH,Registered Share,CHF,True,1213853,CSGN.SW,Financial Services,Banks—Diversified,0.0,0.01066,-0.13,0.11377,0.00026,none,,521.445,128.319,4.381,EBS,1.580246,,-3.13,18.862,-0.782,,2021-06-30,https://logo.clearbit.com/credit-suisse.com
70,Datacolor AG,DCN,CH,Registered Share,CHF,True,853104,DCN.SW,Technology,Scientific & Technical Instruments,0.03069,0.098629996,0.052,0.01021,0.0056800004,none,,,282.166,2.203,EBS,0.37542,33.182,1.018,292.497,,16.120907,2021-03-31,https://logo.clearbit.com/datacolor.com
71,Dätwyler Holding AG,DAE,CH,Bearer Share,CHF,True,3048677,DAE.SW,Industrials,Industrial Distribution,0.20235,-0.34216,0.035,0.14593,0.081379995,none,,27.955,9.971,1.769,EBS,1.183526,26.116,5.285,43.241,,36.902176,2020-12-31,https://logo.clearbit.com/datwyler.com
72,DKSH Holding AG,DKSH,CH,Registered Share,CHF,True,12667353,DKSH.SW,Industrials,Consulting Services,0.028870001,0.01677,0.028,0.025009999,0.03292,none,,32.866,9.335,0.986,EBS,0.489337,14.635,0.423,26.734,0.445,21.775146,2021-06-30,https://logo.clearbit.com/dksh.com
73,dormakaba Holding AG,DOKA,CH,Registered Share,CHF,True,1179595,DOKA.SW,Industrials,Security & Protection Services,0.12294,0.03174,-0.114,0.092080005,0.07616,none,,395.387,33.247,0.612,EBS,1.280022,11.288,1.388,38.571,-0.147,17.457989,2020-12-31,https://logo.clearbit.com/dormakaba.com
74,Dottikon ES Holding AG,DESN,CH,Registered Share,CHF,True,58258171,DESN.SW,Basic Materials,Chemicals,0.3693,0.23899001,0.313,0.28308,0.06164,none,,,19.73,4.091,EBS,0.898989,42.391,15.655,51.724,0.76,,2021-03-31,https://logo.clearbit.com/dottikon.com
75,Dufry AG,DUFN,CH,Registered Share,CHF,True,2340545,DUFN.SW,Consumer Cyclical,Specialty Retail,-0.44434,-0.98149,-0.775,-0.62808996,-0.08169,none,,993.998,4.49,0.239,EBS,1.994388,-11.157,4.957,10.458,,4.833863,2020-12-31,https://logo.clearbit.com/dufry.com
76,Edisun Power Europe AG,ESUN,CH,Registered Share,CHF,True,2473640,ESUN.SW,Utilities,Utilities—Renewable,0.74087,0.28051,-0.096,0.36158,0.014040001,none,,135.408,27.941,1.345,EBS,0.692095,23.266,17.237,78.914,-0.009,,2020-12-31,https://logo.clearbit.com/edisunpower.com
77,EEII AG,EEII,CH,Bearer Share,CHF,True,716295,EEII.SW,Financial Services,Asset Management,0.0,0.0,,1.1453199,-0.24844,none,,23.024,0.16,0.213,EBS,0.513468,,-2.602,3.059,,,2020-12-31,https://logo.clearbit.com/eeii.ch
78,EFG International AG,EFGN,CH,Registered Share,CHF,True,2226822,EFGN.SW,Financial Services,Banks—Diversified,0.0,0.10256,-0.069,0.15816,0.00298,none,,,17.534,,EBS,1.28073,,-0.483,5.745,0.284,8.986486,2020-12-31,https://logo.clearbit.com/efginternational.com
79,Eli Lilly and Company,LLY,US,Registered Share,CHF,False,947556,LLY.SW,Healthcare,Drug Manufacturers—General,0.33328998,0.23906,0.161,0.27833,0.10083,none,,229.541,3.371,0.828,EBS,0.242391,23.199,7.732,7.589,-0.069,,2021-03-31,https://logo.clearbit.com/lilly.com
80,Elma Electronic AG,ELMN,CH,Registered Share,CHF,True,531916,ELMN.SW,Technology,Electronic Components,0.06889,0.03798,0.012,0.04657,0.04605,none,,64.572,46.474,1.171,EBS,0.058139,14.298,0.985,186.4,0.408,,2020-12-31,https://logo.clearbit.com/elma.com
81,Emmi AG,EMMN,CH,Registered Share,CHF,True,1282989,EMMN.SW,Consumer Defensive,Packaged Foods,0.1125,0.050830003,0.056,0.07598,0.07458,none,,38.226,55.335,1.388,EBS,0.313165,13.474,1.516,210.669,-0.009,,2020-12-31,https://logo.clearbit.com/emmi.com
82,Ems-Chemie Holding AG,EMSN,CH,Registered Share,CHF,True,1644035,EMSN.SW,Basic Materials,Specialty Chemicals,0.30699,0.24203,0.38,0.28384,0.15918,none,,1.358,7.952,1.402,EBS,0.520524,33.102,10.162,68.315,0.455,40.798763,2021-06-30,https://logo.clearbit.com/ems-group.com
83,Energiedienst Holding AG,EDHN,CH,Registered Share,CHF,True,3965118,EDHN.SW,Utilities,Utilities—Renewable,0.11021,0.06657,0.029,0.066750005,,none,,,,,EBS,,10.803,1.191,21.612,3.697,,2021-06-30,https://logo.clearbit.com/energiedienst.de
84,ENR Russia Invest SA,RUS,CH,Bearer Share,CHF,True,3447695,RUS.SW,Financial Services,Asset Management,0.0,-1.54579,-0.247,0.045760002,0.0017200001,none,,46.418,2.744,1.741,EBS,-0.126262,,8.741,14.279,,,2020-12-31,https://logo.clearbit.com/enr.ch
85,EPH European Property Holdings,EPH,VG,Registered Share,USD,True,1673866,EPH.SW,Real Estate,Real Estate Services,0.57505,0.23336,0.574,0.57493,0.026689999,none,,207.786,10.0,0.808,EBS,0.184062,21.27,12.231,51.987,0.243,,2020-12-31,https://logo.clearbit.com/easternpropertyholdings.com
86,Evolva Holding SA,EVE,CH,Registered Share,CHF,True,2121806,EVE.SW,Healthcare,Biotechnology,-2.0244799,0.0,-0.316,-2.9181201,-0.076620005,none,,6.219,0.024,1.474,EBS,0.892997,-8.709,17.631,0.18,,,2020-12-31,https://logo.clearbit.com/evolva.com
87,Feintool International Holding AG,FTON,CH,Registered Share,CHF,True,932009,FTON.SW,Industrials,Specialty Industrial Machinery,0.13226,0.04592,0.426,0.068330005,0.03556,none,,60.537,13.477,0.906,EBS,1.501683,5.999,0.793,59.919,,8.2210245,2021-06-30,https://logo.clearbit.com/feintool.com
88,Flughafen Zürich AG,FHZN,CH,Registered Share,CHF,True,31941693,FHZN.SW,Industrials,Airports & Air Services,0.30421,-0.15026,-0.151,-0.14049,-0.00997,none,,79.595,17.943,3.204,EBS,1.291904,33.94,10.325,76.121,,,2021-06-30,https://logo.clearbit.com/flughafen-zuerich.ch
89,Forbo Holding AG,FORN,CH,Registered Share,CHF,True,354151,FORN.SW,Industrials,Building Products & Equipment,0.15729,0.095019996,-0.091,0.12257,0.07755,none,,6.613,162.04,1.79,EBS,0.940298,14.36,2.259,432.804,-0.034,21.542643,2020-12-31,https://logo.clearbit.com/forbo.com
90,Formulafirst Ltd.,FFI,VG,Bearer Share,CHF,True,1462983,FFI.SW,Services,"Discount, Variety Stores",0.0,0.0,1.031,-1.89851,-0.01044,none,,,32.363,83.568,EBS,0.96849,,5.872,31.995,1.415,,2020-12-31,https://logo.clearbit.com/formulafirst.ch
