,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
188,Schweizerische Nationalbank,SNBN,CH,Registered Share,CHF,True,131926,SNBN.SW,Financial Services,Banks—Regional,0.0,0.99415,-0.85,0.99416,0.06367,none,,,184832.0,,EBS,1.011223,,-0.055,1839506.0,-0.852,,2021-06-30,https://logo.clearbit.com/snb.ch
189,Scor SE,SCR,FR,Registered Share,CHF,False,2844943,SCR.SW,Financial Services,Insurance—Reinsurance,0.06048,0.0348,0.014,0.05628,0.0124,none,,49.937,22.478,4.761,EBS,1.421436,3.758,0.227,33.611,,,2021-06-30,https://logo.clearbit.com/scor.com
190,Sensirion Holding AG,SENS,CH,Registered Share,CHF,True,40670512,SENS.SW,Technology,Scientific & Technical Instruments,0.30344,0.22841999,0.27,0.26247,0.17633,none,,,7.182,3.726,EBS,0.557,21.882,6.64,12.651,1.955,,2021-06-30,https://logo.clearbit.com/sensirion.com
191,SF Urban Properties AG,SFPN,CH,Registered Share,CHF,True,3281613,SFPN.SW,Real Estate,Real Estate—Development,0.64507,0.51334,1.299,0.64138,0.02578,none,,98.149,3.567,0.337,EBS,0.368301,22.565,14.556,97.687,0.799,,2020-12-31,https://logo.clearbit.com/sfp.ch
192,SFS Group AG,SFSN,CH,Registered Share,CHF,True,23922930,SFSN.SW,Industrials,Tools & Accessories,0.21691,0.13755,0.244,0.16551,0.11763,none,,2.035,5.544,2.264,EBS,1.22748,11.194,2.428,33.635,1.475,26.750525,2021-06-30,https://logo.clearbit.com/sfs.biz
193,SGS AG,SGSN,CH,Registered Share,CHF,True,249745,SGSN.SW,Industrials,Consulting Services,0.20304,0.09606,0.168,0.15691,0.09347,none,,410.983,157.248,1.237,EBS,0.670467,19.94,4.049,141.915,0.591,,2021-06-30,https://logo.clearbit.com/sgs.com
194,SHL Telemedicine Ltd.,SHLTN,IL,Registered Share,CHF,True,1128957,SHLTN.SW,Healthcare,Health Information Services,0.07566,0.0069199996,0.03,0.023529999,0.0094800005,hold,3.0,38.46,0.738,1.115,EBS,0.935575,79.5,6.015,3.602,-0.878,19.642859,2020-12-31,https://logo.clearbit.com/shl-telemedicine.com
195,Siegfried Holding AG,SFZN,CH,Registered Share,CHF,True,1428449,SFZN.SW,Healthcare,Drug Manufacturers—Specialty & Generic,0.15839,0.07203,0.04,0.094280005,0.04131,none,,19.09,13.02,1.704,EBS,0.635157,26.819,4.248,175.335,0.812,,2020-12-31,https://logo.clearbit.com/siegfried.ch
196,SIG Combibloc Group AG,SIGN,CH,Registered Share,CHF,True,43537795,SIGN.SW,Consumer Cyclical,Packaging & Containers,0.2616,0.03744,-0.026,0.11833,0.02874,none,,92.832,1.11,0.797,EBS,0.395585,19.867,5.197,5.667,-0.29,,2020-12-31,https://logo.clearbit.com/sig.biz
197,Sika AG,SIKA,CH,Registered Share,CHF,True,41879292,SIKA.SW,Basic Materials,Specialty Chemicals,0.19379,0.119820006,0.231,0.16299999,0.08964,none,,113.286,7.985,1.36,EBS,0.644435,28.976,5.615,23.179,0.797,,2021-06-30,https://logo.clearbit.com/sika.com
198,Sociedad Comercial del Plata SA,CADN,AR,Registered Share,CHF,False,455617,CADN.SW,Industrials,Conglomerates,0.10446999,0.09984,0.129,0.07075,0.03706,none,,1.352,0.722,1.008,EBS,1.914235,-0.43,-0.045,9.174,,,2021-03-31,https://logo.clearbit.com/scp.com.ar
199,SoftwareONE Holding AG,SWON,CH,Registered Share,CHF,True,49645150,SWON.SW,Technology,Software—Application,0.01638,0.01816,0.068,0.01588,0.02473,none,,0.538,2.758,1.058,EBS,,26.717,0.438,5.023,-0.422,,2021-06-30,https://logo.clearbit.com/softwareone.com
